tunisianet_scrapy_persist.reference_global,tunisianet_scrapy_persist.reference_detail,tunisianet_scrapy_persist.ad_title,tunisianet_scrapy_persist.ad_url,tunisianet_scrapy_persist.marque,tunisianet_scrapy_persist.modele,tunisianet_scrapy_persist.ram,tunisianet_scrapy_persist.stockage,tunisianet_scrapy_persist.couleur,tunisianet_scrapy_persist.options,tunisianet_scrapy_persist.shop,tunisianet_scrapy_persist.ad_stocks,tunisianet_scrapy_persist.ad_price,tunisianet_scrapy_persist.date_scrapy
samsung-galaxya04,samsung-galaxya04-4go-128gb-rosegold,Smartphone Samsung Galaxy A04 / 4 Go / 128 Go / Rose Gold,https://www.tunisianet.com.tn/smartphone-tunisie/66437-smartphone-samsung-galaxy-a04-4-go-128-go-rose-gold.html,samsung,galaxy a04,4go,128gb,rose gold,,tunisianet,retired,489.0,05/11/2023
samsung-galaxya04,samsung-galaxya04-4go-128gb-white,Smartphone Samsung Galaxy A04 / 4 Go / 128 Go / Blanc,https://www.tunisianet.com.tn/smartphone-tunisie/66434-smartphone-samsung-galaxy-a04-4-go-128-go-blanc.html,samsung,galaxy a04,4go,128gb,white,,tunisianet,retired,489.0,05/11/2023
samsung-galaxya04,samsung-galaxya04-4go-64gb-rosegold,Smartphone Samsung Galaxy A04 / 4 Go / 64 Go / Rose Gold,https://www.tunisianet.com.tn/smartphone-tunisie/60922-smartphone-samsung-galaxy-a04-4-go-64-go-rose-gold.html,samsung,galaxy a04,4go,64gb,rose gold,,tunisianet,retired,429.0,05/11/2023
samsung-galaxya04,samsung-galaxya04-4go-64gb-white,Smartphone Samsung Galaxy A04 / 4 Go / 64 Go / Blanc,https://www.tunisianet.com.tn/smartphone-tunisie/60923-smartphone-samsung-galaxy-a04-4-go-64-go-blanc.html,samsung,galaxy a04,4go,64gb,white,,tunisianet,retired,429.0,05/11/2023
samsung-galaxya04s,samsung-galaxya04s-4go-128gb-black,Smartphone Samsung Galaxy A04s / 4 Go / 128 Go / Noir + Un Abonnement OTT Pro 12 Mois Offert,https://www.tunisianet.com.tn/smartphone-tunisie/61101-smartphone-samsung-galaxy-a04s-4-go-128-go-noir-un-abonnement-ott-pro-12-mois-offert.html,samsung,galaxy a04s,4go,128gb,black,un abonnement ott pro 12 mois offert,tunisianet,retired,579.0,05/11/2023
samsung-galaxya04s,samsung-galaxya04s-4go-128gb-rose,Smartphone Samsung Galaxy A04s / 4 Go / 128 Go / Rose + Un Abonnement OTT Pro 12 Mois Offert,https://www.tunisianet.com.tn/smartphone-tunisie/61102-smartphone-samsung-galaxy-a04s-4-go-128-go-rose-un-abonnement-ott-pro-12-mois-offert.html,samsung,galaxy a04s,4go,128gb,rose,un abonnement ott pro 12 mois offert,tunisianet,retired,579.0,05/11/2023
samsung-galaxya04s,samsung-galaxya04s-4go-128gb-white,Smartphone Samsung Galaxy A04s / 4 Go / 128 Go / Blanc + Un Abonnement OTT Pro 12 Mois Offert,https://www.tunisianet.com.tn/smartphone-tunisie/60579-smartphone-samsung-galaxy-a04s-4-go-128-go-blanc-un-abonnement-ott-pro-12-mois-offert.html,samsung,galaxy a04s,4go,128gb,white,un abonnement ott pro 12 mois offert,tunisianet,retired,599.0,05/11/2023
samsung-galaxya14,samsung-galaxya14-4go-128gb-black,Smartphone Samsung Galaxy A14 / 4 Go / 128 Go / Noir,https://www.tunisianet.com.tn/smartphone-tunisie/62989-smartphone-samsung-galaxy-a14-4-go-128-go-noir.html,samsung,galaxy a14,4go,128gb,black,,tunisianet,retired,639.0,05/11/2023
samsung-galaxya14,samsung-galaxya14-4go-128gb-green,Smartphone Samsung Galaxy A14 / 4 Go / 128 Go / Vert,https://www.tunisianet.com.tn/smartphone-tunisie/62990-smartphone-samsung-galaxy-a14-4-go-128-go-vert.html,samsung,galaxy a14,4go,128gb,green,,tunisianet,retired,639.0,05/11/2023
samsung-galaxya14,samsung-galaxya14-4go-128gb-silver,Smartphone Samsung Galaxy A14 / 4 Go / 128 Go / Silver,https://www.tunisianet.com.tn/smartphone-tunisie/62988-smartphone-samsung-galaxy-a14-4-go-128-go-silver.html,samsung,galaxy a14,4go,128gb,silver,,tunisianet,retired,639.0,05/11/2023
samsung-galaxya14,samsung-galaxya14-4go-64gb-black,Smartphone Samsung Galaxy A14 / 4 Go / 64 Go / Noir,https://www.tunisianet.com.tn/smartphone-tunisie/62986-smartphone-samsung-galaxy-a14-4-go-64-go-noir.html,samsung,galaxy a14,4go,64gb,black,,tunisianet,retired,629.0,05/11/2023
samsung-galaxya14,samsung-galaxya14-4go-64gb-green,Smartphone Samsung Galaxy A14 / 4 Go / 64 Go / Vert,https://www.tunisianet.com.tn/smartphone-tunisie/62987-smartphone-samsung-galaxy-a14-4-go-64-go-vert.html,samsung,galaxy a14,4go,64gb,green,,tunisianet,retired,629.0,05/11/2023
samsung-galaxya14,samsung-galaxya14-4go-64gb-silver,Smartphone Samsung Galaxy A14 / 4 Go / 64 Go / Silver,https://www.tunisianet.com.tn/smartphone-tunisie/62985-smartphone-samsung-galaxy-a14-4-go-64-go-silver.html,samsung,galaxy a14,4go,64gb,silver,,tunisianet,retired,629.0,05/11/2023
samsung-galaxya14,samsung-galaxya14-6go-128gb-black,Smartphone Samsung Galaxy A14 / 6 Go / 128 Go / Noir,https://www.tunisianet.com.tn/smartphone-tunisie/62982-smartphone-samsung-galaxy-a14-6-go-128-go-noir.html,samsung,galaxy a14,6go,128gb,black,,tunisianet,retired,739.0,05/11/2023
samsung-galaxya14,samsung-galaxya14-6go-128gb-green,Smartphone Samsung Galaxy A14 / 6 Go / 128 Go / Vert,https://www.tunisianet.com.tn/smartphone-tunisie/62984-smartphone-samsung-galaxy-a14-6-go-128-go-vert.html,samsung,galaxy a14,6go,128gb,green,,tunisianet,retired,739.0,05/11/2023
samsung-galaxya14,samsung-galaxya14-6go-128gb-silver,Smartphone Samsung Galaxy A14 / 6 Go / 128 Go / Silver,https://www.tunisianet.com.tn/smartphone-tunisie/62981-smartphone-samsung-galaxy-a14-6-go-128-go-silver.html,samsung,galaxy a14,6go,128gb,silver,,tunisianet,retired,739.0,05/11/2023
samsung-galaxya24,samsung-galaxya24-4go-128gb-black,Smartphone Samsung Galaxy A24 / 4 Go / 128 Go / Noir,https://www.tunisianet.com.tn/smartphone-tunisie/64509-smartphone-samsung-galaxy-a24-4-go-128-go-noir.html,samsung,galaxy a24,4go,128gb,black,,tunisianet,retired,949.0,05/11/2023
samsung-galaxya24,samsung-galaxya24-4go-128gb-green,Smartphone Samsung Galaxy A24 / 4 Go / 128 Go / Vert,https://www.tunisianet.com.tn/smartphone-tunisie/64508-smartphone-samsung-galaxy-a24-4-go-128-go-vert.html,samsung,galaxy a24,4go,128gb,green,,tunisianet,retired,949.0,05/11/2023
samsung-galaxya24,samsung-galaxya24-4go-128gb-silver,Smartphone Samsung Galaxy A24 / 4 Go / 128 Go / Silver,https://www.tunisianet.com.tn/smartphone-tunisie/64932-smartphone-samsung-galaxy-a24-4-go-128-go-silver.html,samsung,galaxy a24,4go,128gb,silver,,tunisianet,retired,969.0,05/11/2023
samsung-galaxya24,samsung-galaxya24-6go-128gb-black,Smartphone Samsung Galaxy A24 / 6 Go / 128 Go / Noir,https://www.tunisianet.com.tn/smartphone-tunisie/64504-smartphone-samsung-galaxy-a24-6-go-128-go-noir.html,samsung,galaxy a24,6go,128gb,black,,tunisianet,retired,999.0,05/11/2023
samsung-galaxya24,samsung-galaxya24-6go-128gb-green,Smartphone Samsung Galaxy A24 / 6 Go / 128 Go / Vert,https://www.tunisianet.com.tn/smartphone-tunisie/64507-smartphone-samsung-galaxy-a24-6-go-128-go-vert.html,samsung,galaxy a24,6go,128gb,green,,tunisianet,retired,999.0,05/11/2023
samsung-galaxya24,samsung-galaxya24-6go-128gb-silver,Smartphone Samsung Galaxy A24 / 6 Go / 128 Go / Silver,https://www.tunisianet.com.tn/smartphone-tunisie/64503-smartphone-samsung-galaxy-a24-6-go-128-go-silver.html,samsung,galaxy a24,6go,128gb,silver,,tunisianet,retired,999.0,05/11/2023
samsung-galaxya24,samsung-galaxya24-8go-128gb-black,Smartphone Samsung Galaxy A24 / 8 Go / 128 Go / Noir,https://www.tunisianet.com.tn/smartphone-tunisie/64931-smartphone-samsung-galaxy-a24-8-go-128-go-noir.html,samsung,galaxy a24,8go,128gb,black,,tunisianet,retired,999.0,05/11/2023
samsung-galaxya24,samsung-galaxya24-8go-128gb-green,Smartphone Samsung Galaxy A24 / 8 Go / 128 Go / Vert,https://www.tunisianet.com.tn/smartphone-tunisie/64502-smartphone-samsung-galaxy-a24-8-go-128-go-vert.html,samsung,galaxy a24,8go,128gb,green,,tunisianet,retired,999.0,05/11/2023
samsung-galaxya24,samsung-galaxya24-8go-128gb-silver,Smartphone Samsung Galaxy A24 / 8 Go / 128 Go / Silver,https://www.tunisianet.com.tn/smartphone-tunisie/64929-smartphone-samsung-galaxy-a24-8-go-128-go-silver.html,samsung,galaxy a24,8go,128gb,silver,,tunisianet,retired,999.0,05/11/2023
samsung-galaxya34,samsung-galaxya34-6go-128gb-black,Smartphone Samsung Galaxy A34 / 6 Go / 128 Go / Noir,https://www.tunisianet.com.tn/smartphone-tunisie/63677-smartphone-samsung-galaxy-a34-6-go-128-go-noir.html,samsung,galaxy a34,6go,128gb,black,,tunisianet,retired,1349.0,05/11/2023
samsung-galaxya34,samsung-galaxya34-6go-128gb-green,Smartphone Samsung Galaxy A34 / 6 Go / 128 Go / Vert,https://www.tunisianet.com.tn/smartphone-tunisie/63678-smartphone-samsung-galaxy-a34-6-go-128-go-vert.html,samsung,galaxy a34,6go,128gb,green,,tunisianet,retired,1299.0,05/11/2023
samsung-galaxya34,samsung-galaxya34-6go-128gb-silver,Smartphone Samsung Galaxy A34 / 6 Go / 128 Go / Silver,https://www.tunisianet.com.tn/smartphone-tunisie/63676-smartphone-samsung-galaxy-a34-6-go-128-go-silver.html,samsung,galaxy a34,6go,128gb,silver,,tunisianet,retired,1349.0,05/11/2023
samsung-galaxya34,samsung-galaxya34-8go-128gb-black,Smartphone Samsung Galaxy A34 / 8 Go / 128 Go / Noir,https://www.tunisianet.com.tn/smartphone-tunisie/63675-smartphone-samsung-galaxy-a34-8-go-128-go-noir.html,samsung,galaxy a34,8go,128gb,black,,tunisianet,retired,1349.0,05/11/2023
samsung-galaxya34,samsung-galaxya34-8go-128gb-green,Smartphone Samsung Galaxy A34 / 8 Go / 128 Go / Vert,https://www.tunisianet.com.tn/smartphone-tunisie/64082-smartphone-samsung-galaxy-a34-8-go-128-go-vert.html,samsung,galaxy a34,8go,128gb,green,,tunisianet,retired,1469.0,05/11/2023
samsung-galaxya34,samsung-galaxya34-8go-128gb-silver,Smartphone Samsung Galaxy A34 / 8 Go / 128 Go / Silver,https://www.tunisianet.com.tn/smartphone-tunisie/64102-smartphone-samsung-galaxy-a34-8-go-128-go-silver.html,samsung,galaxy a34,8go,128gb,silver,,tunisianet,retired,1469.0,05/11/2023
samsung-galaxya54,samsung-galaxya54-6go-128gb-black,Smartphone Samsung Galaxy A54 / 6 Go / 128 Go / Noir,https://www.tunisianet.com.tn/smartphone-tunisie/64103-smartphone-samsung-galaxy-a54-6-go-128-go-noir.html,samsung,galaxy a54,6go,128gb,black,,tunisianet,retired,1569.0,05/11/2023
samsung-galaxya54,samsung-galaxya54-6go-128gb-green,Smartphone Samsung Galaxy A54 / 6 Go / 128 Go / Vert,https://www.tunisianet.com.tn/smartphone-tunisie/64498-smartphone-samsung-galaxy-a54-6-go-128-go-vert.html,samsung,galaxy a54,6go,128gb,green,,tunisianet,retired,1569.0,05/11/2023
samsung-galaxya54,samsung-galaxya54-6go-128gb-white,Smartphone Samsung Galaxy A54 / 6 Go / 128 Go / Blanc,https://www.tunisianet.com.tn/smartphone-tunisie/64499-smartphone-samsung-galaxy-a54-6-go-128-go-blanc.html,samsung,galaxy a54,6go,128gb,white,,tunisianet,retired,1569.0,05/11/2023
samsung-galaxya54,samsung-galaxya54-8go-128gb-black,Smartphone Samsung Galaxy A54 / 8 Go / 128 Go / Noir,https://www.tunisianet.com.tn/smartphone-tunisie/63953-smartphone-samsung-galaxy-a54-8-go-128-go-noir.html,samsung,galaxy a54,8go,128gb,black,,tunisianet,retired,1569.0,05/11/2023
samsung-galaxya54,samsung-galaxya54-8go-128gb-green,Smartphone Samsung Galaxy A54 / 8 Go / 128 Go / Vert,https://www.tunisianet.com.tn/smartphone-tunisie/64501-smartphone-samsung-galaxy-a54-8-go-128-go-vert.html,samsung,galaxy a54,8go,128gb,green,,tunisianet,retired,1569.0,05/11/2023
samsung-galaxya54,samsung-galaxya54-8go-128gb-white,Smartphone Samsung Galaxy A54 / 8 Go / 128 Go / Blanc,https://www.tunisianet.com.tn/smartphone-tunisie/64497-smartphone-samsung-galaxy-a54-8-go-128-go-blanc.html,samsung,galaxy a54,8go,128gb,white,,tunisianet,retired,1569.0,05/11/2023
samsung-galaxyzflip4,samsung-galaxyzflip4-8go-128gb-blue,Smartphone Samsung Galaxy Z Flip 4 / 8 Go / 128 Go / Bleu,https://www.tunisianet.com.tn/smartphone-tunisie/60912-smartphone-samsung-galaxy-z-flip-4-8-go-128-go-bleu.html,samsung,galaxy z flip 4,8go,128gb,blue,,tunisianet,retired,2589.0,05/11/2023
samsung-galaxyzflip4,samsung-galaxyzflip4-8go-128gb-grey,Smartphone Samsung Galaxy Z Flip 4 / 8 Go / 128 Go / Gris,https://www.tunisianet.com.tn/smartphone-tunisie/60913--smartphone-samsung-galaxy-z-flip-4-8-go-128-go-gris.html,samsung,galaxy z flip 4,8go,128gb,grey,,tunisianet,retired,2349.0,05/11/2023
samsung-galaxyzflip4,samsung-galaxyzflip4-8go-128gb-violet,Smartphone Samsung Galaxy Z Flip 4 / 8 Go / 128 Go / Violet,https://www.tunisianet.com.tn/smartphone-tunisie/60718-smartphone-samsung-galaxy-z-flip-4-8-go-128-go-violet.html,samsung,galaxy z flip 4,8go,128gb,violet,,tunisianet,retired,2349.0,05/11/2023
samsung-galaxyzfold5,samsung-galaxyzfold5-12go-256gb-grey,Smartphone Samsung Galaxy Z FOLD 5 / 12 Go / 256 Go / Gris,https://www.tunisianet.com.tn/smartphone-tunisie/67201-smartphone-samsung-galaxy-z-fold-5-12-go-256-go-gris.html,samsung,galaxy z fold 5,12go,256gb,grey,,tunisianet,retired,5889.0,05/11/2023
schneider-wave34g,schneider-wave34g-4go-32gb-green,Smartphone Schneider Wave 3 / 4G / 4 Go / 32 Go / Double SIM / Vert + ECOUTEURS SANS FIL HILINE BUDS Offerts,https://www.tunisianet.com.tn/smartphone-tunisie/61314-smartphone-schneider-wave-3-4g-4-go-32-go-double-sim-vert.html,schneider,wave 3 4g,4go,32gb,green,double sim  ecouteurs sans fil hiline buds offerts,tunisianet,retired,339.0,05/11/2023
smart-e1,smart-e1-2go-16gb-black,SMARTPHONE SMART E1 /2Go /16G /Noir,https://www.tunisianet.com.tn/smartphone-tunisie/60659-smartphone-smart-e1-2go-16g-noir.html,smart,e1,2go,16gb,black,,tunisianet,retired,179.0,05/11/2023
smart-e1,smart-e1-2go-16gb-blue,SMARTPHONE SMART E1 /2Go /16G /Bleu,https://www.tunisianet.com.tn/smartphone-tunisie/60660-smartphone-smart-e1-2go-16g-bleu.html,smart,e1,2go,16gb,blue,,tunisianet,retired,179.0,05/11/2023
smart-e1,smart-e1-2go-16gb-green,SMARTPHONE SMART E1 /2Go /16G /Vert,https://www.tunisianet.com.tn/smartphone-tunisie/60661-smartphone-smart-e1-2go-16g-vert.html,smart,e1,2go,16gb,green,,tunisianet,retired,219.0,05/11/2023
smart-e2,smart-e2-2go-32gb-black,SMARTPHONE SMART E2 /2Go /32Go /Noir,https://www.tunisianet.com.tn/smartphone-tunisie/60662-smartphone-smart-e2-2go-32go-noir.html,smart,e2,2go,32gb,black,,tunisianet,retired,239.0,05/11/2023
smart-e2,smart-e2-2go-32gb-green,SMARTPHONE SMART E2 /2Go /32Go /Vert,https://www.tunisianet.com.tn/smartphone-tunisie/60665-smartphone-smart-e2-2go-32go-vert.html,smart,e2,2go,32gb,green,,tunisianet,retired,279.0,05/11/2023
tecno-sparkgo2023,tecno-sparkgo2023-4go-64gb-blue,Smartphone Tecno Spark Go 2023 / 4 Go / 64 Go / Bleu,https://www.tunisianet.com.tn/smartphone-tunisie/63528-smartphone-tecno-spark-go-2023-4-go-64-go-bleu.html,tecno,spark go 2023,4go,64gb,blue,,tunisianet,retired,339.0,05/11/2023
vivo-v27,vivo-v27-8go-256gb-blue,Smartphone Vivo V27 / 8 Go / 256 Go / Bleu + Abonnement OTT Pro 12 Mois Offert,https://www.tunisianet.com.tn/smartphone-tunisie/64099-smartphone-vivo-v27-8-go-256-go-bleu.html,vivo,v27,8go,256gb,blue,abonnement ott pro 12 mois offert,tunisianet,retired,1349.0,05/11/2023
vivo-y02s,vivo-y02s-3go-32gb-blue,Smartphone Vivo Y02S / 3 Go / 32 Go / Bleu,https://www.tunisianet.com.tn/smartphone-tunisie/59932-smartphone-vivo-y02s-3-go-32-go-bleu.html,vivo,y02s,3go,32gb,blue,,tunisianet,retired,399.0,05/11/2023
vivo-y16,vivo-y16-4go-64gb-gold,Smartphone Vivo Y16 / 4 Go / 64 Go / Gold,https://www.tunisianet.com.tn/smartphone-tunisie/61749-smartphone-vivo-y16-4-go-64-go-gold.html,vivo,y16,4go,64gb,gold,,tunisianet,retired,539.0,05/11/2023
vivo-y17s,vivo-y17s-6go-128gb-green,Smartphone Vivo Y17S / 6 Go / 128 Go / Vert,https://www.tunisianet.com.tn/smartphone-tunisie/69087-smartphone-vivo-y17s-6-go-128-go-vert.html,vivo,y17s,6go,128gb,green,,tunisianet,retired,499.0,05/11/2023
vivo-y17s,vivo-y17s-6go-128gb-purple,Smartphone Vivo Y17S / 6 Go / 128 Go / Purple,https://www.tunisianet.com.tn/smartphone-tunisie/69085-smartphone-vivo-y17s-6-go-128-go-purple.html,vivo,y17s,6go,128gb,purple,,tunisianet,retired,499.0,05/11/2023
vivo-y22,vivo-y22-4go-64gb-blue,SMARTPHONE VIVO Y22 4 Go / 64 G / BLEU,https://www.tunisianet.com.tn/smartphone-tunisie/60520-smartphone-vivo-y22-4-go-64-g-bleu.html,vivo,y22,4go,64gb,blue,,tunisianet,retired,574.0,05/11/2023
vivo-y22,vivo-y22-4go-64gb-green,SMARTPHONE VIVO Y22 4 Go / 64 G / Vert,https://www.tunisianet.com.tn/smartphone-tunisie/60521-smartphone-vivo-y22-4-go-64-g-vert.html,vivo,y22,4go,64gb,green,,tunisianet,retired,574.0,05/11/2023
vivo-y27,vivo-y27-6go-128gb-black,Smartphone VIVO Y27 6Go / 128Go / Noir + Abonnement OTT Pro 12 Mois Offert,https://www.tunisianet.com.tn/smartphone-tunisie/67696-smartphone-vivo-y27-6go-128go-noir.html,vivo,y27,6go,128gb,black,abonnement ott pro 12 mois offert,tunisianet,retired,579.0,05/11/2023
vivo-y27,vivo-y27-6go-128gb-blue,Smartphone VIVO Y27 6Go / 128Go / Bleu + Abonnement OTT Pro 12 Mois Offert,https://www.tunisianet.com.tn/smartphone-tunisie/67701-smartphone-vivo-y27-6go-128go-noir.html,vivo,y27,6go,128gb,blue,abonnement ott pro 12 mois offert,tunisianet,retired,579.0,05/11/2023
vivo-y36,vivo-y36-8go-128gb-black,Smartphone Vivo Y36 / 8 Go / 128 Go / Noir,https://www.tunisianet.com.tn/smartphone-tunisie/66481-smartphone-vivo-y36-8-go-128-go-noir.html,vivo,y36,8go,128gb,black,,tunisianet,retired,739.0,05/11/2023
vivo-y36,vivo-y36-8go-128gb-gold,Smartphone Vivo Y36 / 8 Go / 128 Go / Gold,https://www.tunisianet.com.tn/smartphone-tunisie/66483-smartphone-vivo-y36-8-go-128-go-gold.html,vivo,y36,8go,128gb,gold,,tunisianet,retired,739.0,05/11/2023
vivo-y36,vivo-y36-8go-256gb-black,Smartphone Vivo Y36 / 8 Go / 256 Go / Noir,https://www.tunisianet.com.tn/smartphone-tunisie/69082-smartphone-vivo-y36-8-go-128-go-noir.html,vivo,y36,8go,256gb,black,,tunisianet,retired,749.0,05/11/2023
vivo-y36,vivo-y36-8go-256gb-gold,Smartphone Vivo Y36 / 8 Go / 256 Go / Gold,https://www.tunisianet.com.tn/smartphone-tunisie/69083-smartphone-vivo-y36-8-go-256-go-gold.html,vivo,y36,8go,256gb,gold,,tunisianet,retired,749.0,05/11/2023
xiaomi-redmi124g,xiaomi-redmi124g-4go-128gb-silver,Smartphone Xiaomi Redmi 12 / 4G / 4 Go / 128 Go / Silver + Abonnement OTT Pro 12 Mois Offert,https://www.tunisianet.com.tn/smartphone-tunisie/66385-smartphone-xiaomi-redmi-12-4g-4-go-128-go-silver.html,xiaomi,redmi 12 4g,4go,128gb,silver,abonnement ott pro 12 mois offert,tunisianet,retired,539.0,05/11/2023
xiaomi-redmi124g,xiaomi-redmi124g-8go-256gb-black,Smartphone Xiaomi Redmi 12 / 4G / 8 Go / 256 Go / Noir,https://www.tunisianet.com.tn/smartphone-tunisie/67464-smartphone-xiaomi-redmi-12-4g-8-go-256-go-noir.html,xiaomi,redmi 12 4g,8go,256gb,black,,tunisianet,retired,634.0,05/11/2023
xiaomi-redmi12c4g,xiaomi-redmi12c4g-4go-128gb-grey,Smartphone Xiaomi Redmi 12C / 4G / 4 Go / 128 Go / Gris,https://www.tunisianet.com.tn/smartphone-tunisie/62908-smartphone-xiaomi-redmi-12c-4g-4-go-128-go-gris.html,xiaomi,redmi 12c 4g,4go,128gb,grey,,tunisianet,retired,474.0,05/11/2023
xiaomi-redmi12c4g,xiaomi-redmi12c4g-6go-128gb-grey,Smartphone Xiaomi Redmi 12C / 4G / 6 Go / 128 Go / Gris,https://www.tunisianet.com.tn/smartphone-tunisie/66674-smartphone-xiaomi-redmi-12c-4g-6-go-128-go-gris.html,xiaomi,redmi 12c 4g,6go,128gb,grey,,tunisianet,retired,499.0,05/11/2023
xiaomi-redmia24g,xiaomi-redmia24g-3go-64gb-green,Smartphone Xiaomi Redmi A2+ / 4G / 3 Go / 64 Go / Vert,https://www.tunisianet.com.tn/smartphone-tunisie/67460-smartphone-xiaomi-redmi-a2-4g-3-go-64-go-vert.html,xiaomi,redmi a2 4g,3go,64gb,green,,tunisianet,retired,339.0,05/11/2023
xiaomi-redminote11s,xiaomi-redminote11s-8go-128gb-twilightblue,Smartphone Xiaomi Redmi Note 11S / 8 Go / 128 Go / Bleu Twilight,https://www.tunisianet.com.tn/smartphone-tunisie/58841-smartphone-xiaomi-redmi-note-11s-8-go-128-go-bleu-twilight.html,xiaomi,redmi note 11s,8go,128gb,twilight blue,,tunisianet,retired,969.0,05/11/2023
xiaomi-redminote12,xiaomi-redminote12-4go-128gb-green,SMARTPHONE XIAOMI Redmi Note 12 / 4 GO / 128 GO / Vert,https://www.tunisianet.com.tn/smartphone-tunisie/63890-smartphone-xiaomi-redmi-note-12-4-go-128-go-vert.html,xiaomi,redmi note 12,4go,128gb,green,,tunisianet,retired,724.0,05/11/2023
xiaomi-redminote12,xiaomi-redminote12-4go-128gb-grey,SMARTPHONE XIAOMI Redmi Note 12 / 4 GO / 128 GO / Gris,https://www.tunisianet.com.tn/smartphone-tunisie/63889-smartphone-xiaomi-redmi-note-12-4-go-128-go-gris.html,xiaomi,redmi note 12,4go,128gb,grey,,tunisianet,retired,724.0,05/11/2023
xiaomi-redminote12,xiaomi-redminote12-6go-128gb-blue,Smartphone XIAOMI Redmi Note 12 / 6 GO / 128 GO / Bleu,https://www.tunisianet.com.tn/smartphone-tunisie/63892-smartphone-xiaomi-redmi-note-12-6-go-128-go-bleu.html,xiaomi,redmi note 12,6go,128gb,blue,,tunisianet,retired,749.0,05/11/2023
xiaomi-redminote12,xiaomi-redminote12-6go-128gb-grey,SMARTPHONE XIAOMI Redmi Note 12 / 6 GO / 128 GB / Gris,https://www.tunisianet.com.tn/smartphone-tunisie/63894-smartphone-xiaomi-redmi-note-12-6-go-128-go-gris.html,xiaomi,redmi note 12,6go,128gb,grey,,tunisianet,retired,749.0,05/11/2023
xiaomi-redminote12,xiaomi-redminote12-8go-128gb-gold,Smartphone XIAOMI Redmi Note 12 / 8 GO / 128 GO / Gold,https://www.tunisianet.com.tn/smartphone-tunisie/68817-smartphone-xiaomi-redmi-note-12-8-go-128-go-gold.html,xiaomi,redmi note 12,8go,128gb,gold,,tunisianet,retired,759.0,05/11/2023
xiaomi-redminote12,xiaomi-redminote12-8go-128gb-grey,SMARTPHONE XIAOMI Redmi Note 12 / 8 GO / 128 GO / Gris,https://www.tunisianet.com.tn/smartphone-tunisie/63896-smartphone-xiaomi-redmi-note-12-8-gb-128-go-gris.html,xiaomi,redmi note 12,8go,128gb,grey,,tunisianet,retired,759.0,05/11/2023
xiaomi-redminote12pro4g,xiaomi-redminote12pro4g-6go-128gb-blue,SMARTPHONE XIAOMI REDMI NOTE 12 PRO 4G / 6 GO / 128 GO / Blue,https://www.tunisianet.com.tn/smartphone-tunisie/66672-smartphone-xiaomi-redmi-note-12-pro-4g-6-go-128-go-blue.html,xiaomi,redmi note 12 pro 4g,6go,128gb,blue,,tunisianet,retired,999.0,05/11/2023
xiaomi-redminote12pro4g,xiaomi-redminote12pro4g-6go-128gb-grey,SMARTPHONE XIAOMI Redmi Note 12 Pro 4G / 6 GO / 128 GO / Gris,https://www.tunisianet.com.tn/smartphone-tunisie/66614-smartphone-xiaomi-redmi-note-12-pro-4g-6-go-128-go-gris.html,xiaomi,redmi note 12 pro 4g,6go,128gb,grey,,tunisianet,retired,999.0,05/11/2023
xiaomi-redminote12pro4g,xiaomi-redminote12pro4g-8go-256gb-blue,Smartphone XIAOMI Redmi Note 12 Pro 4G / 8 GO / 256 GO / Bleu,https://www.tunisianet.com.tn/smartphone-tunisie/64426-smartphone-xiaomi-redmi-note-12-pro-4g-8-go-256-go-bleu.html,xiaomi,redmi note 12 pro 4g,8go,256gb,blue,,tunisianet,retired,1299.0,05/11/2023
xiaomi-redminote12pro4g,xiaomi-redminote12pro4g-8go-256gb-grey,Smartphone XIAOMI Redmi Note 12 Pro 4G / 8 GO / 256 GO / Gris,https://www.tunisianet.com.tn/smartphone-tunisie/64041-smartphone-xiaomi-redmi-note-12-pro-4g-8-go-256-go-gris.html,xiaomi,redmi note 12 pro 4g,8go,256gb,grey,,tunisianet,retired,1299.0,05/11/2023
xiaomi-redminote12proplus5g,xiaomi-redminote12proplus5g-8go-256gb-black,Smartphone XIAOMI Redmi Note 12 Pro Plus 5G  / 8 GO / 256 GO / Noir,https://www.tunisianet.com.tn/smartphone-tunisie/63893-smartphone-xiaomi-redmi-note-12-pro-plus-5g-8-go-256-go-noir.html,xiaomi,redmi note 12 pro plus 5g,8go,256gb,black,,tunisianet,retired,1469.0,05/11/2023
xiaomi-redminote12proplus5g,xiaomi-redminote12proplus5g-8go-256gb-blue,SMARTPHONE XIAOMI Redmi Note 12 Pro Plus 5G  / 8 GO / 256 GO / Blue,https://www.tunisianet.com.tn/smartphone-tunisie/63891-smartphone-xiaomi-redmi-note-12-pro-5g-8-go-256-go-blanc.html,xiaomi,redmi note 12 pro plus 5g,8go,256gb,blue,,tunisianet,retired,1469.0,05/11/2023
oppo-reno8t5g,oppo-reno8t5g-8go-256gb-gold,Smartphone Oppo Reno8 T / 5G / 8 Go / 256 Go/ Gold + Abonnement OTT 12 Mois Offert + Smart Band Oppo Offert,https://www.tunisianet.com.tn/smartphone-tunisie/62664-smartphone-oppo-reno8-t-5g-8-go-256-go-gold-abonnement-ott-12-mois-offert-smart-band-oppo-offert.html,oppo,reno8 t 5g,8go,256gb,gold,abonnement ott 12 mois offert smart band oppo offert,tunisianet,INSTOCK,1489.0,05/11/2023
