tunisianet_scrapy_persist.reference_global,tunisianet_scrapy_persist.reference_detail,tunisianet_scrapy_persist.ad_title,tunisianet_scrapy_persist.ad_url,tunisianet_scrapy_persist.marque,tunisianet_scrapy_persist.modele,tunisianet_scrapy_persist.ram,tunisianet_scrapy_persist.stockage,tunisianet_scrapy_persist.couleur,tunisianet_scrapy_persist.options,tunisianet_scrapy_persist.shop,tunisianet_scrapy_persist.ad_stocks,tunisianet_scrapy_persist.ad_price,tunisianet_scrapy_persist.date_scrapy
samsung-galaxya04s,samsung-galaxya04s-4go-64gb-copper,Smartphone Samsung Galaxy A04s / 4 Go / 64 Go / Copper + Un Abonnement OTT Pro 12 Mois Offert,https://www.tunisianet.com.tn/smartphone-tunisie/60151-smartphone-samsung-galaxy-a04s-4-go-64-go-copper.html,samsung,galaxy a04s,4go,64gb,copper,un abonnement ott pro 12 mois offert,tunisianet,INSTOCK,599.0,28/01/2024
iplus-p14g,iplus-p14g-2go-16gb-blue,Smartphone IPLUS P1 / 4G / 2 Go / 16 Go / Double SIM / Bleu,https://www.tunisianet.com.tn/smartphone-tunisie/56670-smartphone-iplus-p1-4g-2-go-16-go-double-sim-bleu.html,iplus,p1 4g,2go,16gb,blue,double sim,tunisianet,INSTOCK,279.0,28/01/2024
samsung-galaxys24plus5g,samsung-galaxys24plus5g-12go-256gb-violet,Smartphone Samsung Galaxy S24 Plus / 5G / 12 Go / 256 Go / Violet,https://www.tunisianet.com.tn/smartphone-tunisie/72317-smartphone-samsung-galaxy-s24-plus-5g-12-go-256-go-violet.html,samsung,galaxy s24 plus 5g,12go,256gb,violet,,tunisianet,ONDEMAND,3999.0,28/01/2024
realme-114g,realme-114g-8go-256gb-black,Smartphone Realme 11 4G / 8 Go / 256 Go / Noir,https://www.tunisianet.com.tn/smartphone-tunisie/71506-smartphone-realme-11-4g-8-go-256-go-noir.html,realme,11 4g,8go,256gb,black,,tunisianet,INSTOCK,899.0,28/01/2024
xiaomi-redmi124g,xiaomi-redmi124g-4go-128gb-black,Smartphone Xiaomi Redmi 12 / 4G / 4 Go / 128 Go / Noir + Abonnement OTT Pro 12 Mois Offert,https://www.tunisianet.com.tn/smartphone-tunisie/66384-smartphone-xiaomi-redmi-12c-4g-4-go-128-go-gris.html,xiaomi,redmi 12 4g,4go,128gb,black,abonnement ott pro 12 mois offert,tunisianet,INSTOCK,529.0,28/01/2024
samsung-galaxya54,samsung-galaxya54-6go-128gb-black,Smartphone Samsung Galaxy A54 / 6 Go / 128 Go / Noir + Adaptateur Samsung 25W Offert,https://www.tunisianet.com.tn/smartphone-tunisie/64103-smartphone-samsung-galaxy-a54-6-go-128-go-noir.html,samsung,galaxy a54,6go,128gb,black,adaptateur samsung 25w offert,tunisianet,INSTOCK,1799.0,28/01/2024
samsung-galaxya05,samsung-galaxya05-6go-128gb-silver,Smartphone Samsung Galaxy A05 / 6 Go / 128 Go / Silver,https://www.tunisianet.com.tn/smartphone-tunisie/72209-smartphone-samsung-galaxy-a05-6-go-128-go-silver.html,samsung,galaxy a05,6go,128gb,silver,,tunisianet,INSTOCK,525.0,28/01/2024
xiaomi-redmi124g,xiaomi-redmi124g-8go-128gb-silver,Smartphone Xiaomi Redmi 12 / 4G / 8 Go / 128 Go / Silver + Abonnement OTT Pro 12 Mois Offert,https://www.tunisianet.com.tn/smartphone-tunisie/66389-smartphone-xiaomi-redmi-12-4g-8-go-128-go-silver.html,xiaomi,redmi 12 4g,8go,128gb,silver,abonnement ott pro 12 mois offert,tunisianet,INSTOCK,599.0,28/01/2024
infinix-smart8,infinix-smart8-4go-128gb-green,SMARTPHONE INFINIX SMART 8 / 4GO / 128GO / Vert + Un Abonnement OTT Pro 12 Mois Offert,https://www.tunisianet.com.tn/smartphone-tunisie/72013-smartphone-infinix-smart-8-4go-128go-vert.html,infinix,smart 8,4go,128gb,green,un abonnement ott pro 12 mois offert,tunisianet,INSTOCK,355.0,28/01/2024
itel-a70,itel-a70-4go-64gb-gold,Smartphone Itel A70 / 4 Go / 64 GO / Gold,https://www.tunisianet.com.tn/smartphone-tunisie/72202-smartphone-itel-a70-4-go-64-go-gold.html,itel,a70,4go,64gb,gold,,tunisianet,INSTOCK,279.0,28/01/2024
