reference_global,reference_detail,ad_title,ad_url,marque,modele,ram,stockage,couleur,options,shop,ad_stocks,ad_price,date_scrapy
apple-iphone15pro,apple-iphone15pro-128gb,IPHONE 15 PRO 128GB,https://www.ooredoo.tn/Personal/fr/accueil/1776-2488-portable-iphone-15-pro-128gb.html#/51-couleur-argent,apple,iphone 15 pro,,128gb,,,ooredooshop,INSTOCK,6399.000,2024-06-13
realme-c53,realme-c53-6go-128gb,REALME C53 (6+128 GO),https://www.ooredoo.tn/Personal/fr/accueil/1772-2475-portable-realme-c53-6128-go.html#/49-couleur-blanc_dore,realme,c53,6go,128gb,,,ooredooshop,INSTOCK,599.000,2024-06-13
itel-s23,itel-s23-8go-256gb,ITEL S23 (8+256 GO),https://www.ooredoo.tn/Personal/fr/accueil/1766-2460-portable-itel-s23-8256-go.html#/73-couleur-noir,itel,s23,8go,256gb,,,ooredooshop,INSTOCK,479.000,2024-06-13
xiaomi-redminote12,xiaomi-redminote12-4go-128gb,XIAOMI REDMI NOTE 12 (4+128GO),https://www.ooredoo.tn/Personal/fr/accueil/1666-2415-portable-xiaomi-redmi-note-12-4128go.html#/57-couleur-gris,xiaomi,redmi note 12,4go,128gb,,,ooredooshop,INSTOCK,779.000,2024-06-13
samsung-a53,samsung-a53-8go-256gb,SAMSUNG A53 8/256,https://www.ooredoo.tn/Personal/fr/accueil/749-1704-portable-samsung-galaxy-a53-8256.html#/13-couleur-orange,samsung,a53,8go,256gb,,,ooredooshop,INSTOCK,1755.000,2024-06-13
samsung-s23,samsung-s23,SAMSUNG S23,https://www.ooredoo.tn/Personal/fr/accueil/1144-2361-portable-samsung-galaxy-s23.html#/18-couleur-rose,samsung,s23,,,,,ooredooshop,INSTOCK,3999.000,2024-06-13
samsung-s23plus,samsung-s23plus,SAMSUNG S23 PLUS,https://www.ooredoo.tn/Personal/fr/accueil/1145-1858-portable-samsung-galaxy-s23-plus.html#/18-couleur-rose,samsung,s23 plus,,,,,ooredooshop,INSTOCK,4599.000,2024-06-13
samsung-a03,samsung-a03,SAMSUNG A03,https://www.ooredoo.tn/Personal/fr/accueil/661-1409-portable-samsung-galaxy-a03-tunisie.html#/50-couleur-bleu,samsung,a03,,,,,ooredooshop,INSTOCK,530.000,2024-06-13
infinix-hot20,infinix-hot20-6go-128gb,INFINIX HOT 20 (6/128GO),https://www.ooredoo.tn/Personal/fr/accueil/1160-2512-portable-infinix-hot-20-6-128go.html#/73-couleur-noir,infinix,hot 20,6go,128gb,,,ooredooshop,INSTOCK,679.000,2024-06-13
vivo-y27,vivo-y27-6go-128gb,VIVO Y27 (6+128GO),https://www.ooredoo.tn/Personal/fr/accueil/1415-2215-portable-vivo-y27-6128go.html#/73-couleur-noir,vivo,y27,6go,128gb,,,ooredooshop,INSTOCK,599.000,2024-06-13
huawei-y91,huawei-y91,HUAWEI Y91,https://www.ooredoo.tn/Personal/fr/accueil/1400-2111-portable-huawei-y91.html#/51-couleur-argent,huawei,y91,,,,,ooredooshop,INSTOCK,1199.000,2024-06-13
huawei-nova8i,huawei-nova8i,Huawei Nova 8i,https://www.ooredoo.tn/Personal/fr/accueil/590-2497-portable-huawei-nova-8i.html#/14-couleur-bleu,huawei,nova 8i,,,,,ooredooshop,INSTOCK,1449.000,2024-06-13
infinix-smart,infinix-smart-2go-64gb,INFINIX SMART 6 PLUS  2+64GO,https://www.ooredoo.tn/Personal/fr/accueil/1110-1827-portable-infinix-smart-6-plus-264go.html#/14-couleur-bleu,infinix,smart,2go,64gb,,plus,ooredooshop,INSTOCK,329.000,2024-06-13
xiaomi-redminote12pro,xiaomi-redminote12pro,XIAOMI REDMI NOTE 12 PRO...,https://www.ooredoo.tn/Personal/fr/accueil/1343-2063-portable-xiaomi-redmi-note-12-pro-6128g-tunisie.html#/14-couleur-bleu,xiaomi,redmi note 12 pro,,,,,ooredooshop,INSTOCK,1199.000,2024-06-13
nokia-c10,nokia-c10-2go-32gb,Nokia C10 (2-32GO),https://www.ooredoo.tn/Personal/fr/accueil/805-1168-portable-nokia-c10-32go.html#/57-couleur-gris,nokia,c10,2go,32gb,,,ooredooshop,INSTOCK,300.000,2024-06-13
xiaomi-redminote12,xiaomi-redminote12-6go-128gb,XIAOMI REDMI NOTE 12 6+128G,https://www.ooredoo.tn/Personal/fr/accueil/1256-1937-portable-xiaomi-redmi-note-12-6128g.html#/57-couleur-gris,xiaomi,redmi note 12,6go,128gb,,,ooredooshop,INSTOCK,839.000,2024-06-13
infinix-hot20i,infinix-hot20i-4go-128gb,INFINIX HOT 20I (4/128 GB ),https://www.ooredoo.tn/Personal/fr/accueil/1098-2256-portable-infinix-hot-20i-4-128-gb-.html#/73-couleur-noir,infinix,hot 20i,4go,128gb,,,ooredooshop,INSTOCK,499.000,2024-06-13
