reference_global,reference_detail,ad_title,ad_url,marque,modele,ram,stockage,couleur,options,shop,ad_stocks,ad_price,date_scrapy
xiaomi-redmi13c,xiaomi-redmi13c-6go-128gb-blue,Smartphone XIAOMI Redmi 13C / 6 Go / 128 Go / Bleu,https://www.tunisianet.com.tn/smartphone-tunisie/70823-smartphone-xiaomi-redmi-13c-4-go-128-go-bleu.html,xiaomi,redmi 13c,6go,128gb,blue,,tunisianet,INSTOCK,519.000,2024-06-13
xiaomi-redmi13c,xiaomi-redmi13c-6go-128gb-black,Smartphone XIAOMI Redmi 13C / 6 Go / 128 Go / Noir,https://www.tunisianet.com.tn/smartphone-tunisie/70822-smartphone-xiaomi-redmi-13c-4-go-128-go-noir.html,xiaomi,redmi 13c,6go,128gb,black,,tunisianet,INSTOCK,519.000,2024-06-13
samsung-galaxya05,samsung-galaxya05-6go-128gb-green,Smartphone Samsung Galaxy A05 / 6 Go / 128 Go / Vert,https://www.tunisianet.com.tn/smartphone-tunisie/72207-smartphone-samsung-galaxy-a05-6-go-128-go-vert.html,samsung,galaxy a05,6go,128gb,green,,tunisianet,INSTOCK,519.000,2024-06-13
tecno-spark20,tecno-spark20-8go-256gb-gold,Smartphone Tecno Spark 20 / 8 Go / 256 Go / GOLD,https://www.tunisianet.com.tn/smartphone-tunisie/75867-smartphone-tecno-spark-20-8-go-256-go-bleu.html,tecno,spark 20,8go,256gb,gold,,tunisianet,INSTOCK,519.000,2024-06-13
tecno-spark20,tecno-spark20-8go-256gb-blue,Smartphone Tecno Spark 20 / 8 Go / 256 Go / Bleu,https://www.tunisianet.com.tn/smartphone-tunisie/71761-smartphone-tecno-spark-20-8-go-256-go-bleu.html,tecno,spark 20,8go,256gb,blue,,tunisianet,INSTOCK,519.000,2024-06-13
tecno-spark20,tecno-spark20-8go-256gb-black,Smartphone Tecno Spark 20 / 8 Go / 256 Go / Noir,https://www.tunisianet.com.tn/smartphone-tunisie/71760-tecno-spark-20-prix-tunisie.html,tecno,spark 20,8go,256gb,black,,tunisianet,INSTOCK,519.000,2024-06-13
tecno-spark20,tecno-spark20-8go-256gb-white,Smartphone Tecno Spark 20 / 8 Go / 256 Go / Blanc,https://www.tunisianet.com.tn/smartphone-tunisie/71759-smartphone-tecno-spark-20-8-go-256-go-blanc.html,tecno,spark 20,8go,256gb,white,,tunisianet,INSTOCK,519.000,2024-06-13
samsung-galaxya05s,samsung-galaxya05s-4go-128gb-black,Smartphone Samsung Galaxy A05S / 4 Go / 128 Go / Noir,https://www.tunisianet.com.tn/smartphone-tunisie/72442-smartphone-samsung-galaxy-a05s-4-go-128-go-noir.html,samsung,galaxy a05s,4go,128gb,black,,tunisianet,INSTOCK,519.000,2024-06-13
samsung-galaxya05,samsung-galaxya05-6go-128gb-silver,Smartphone Samsung Galaxy A05 / 6 Go / 128 Go / Silver,https://www.tunisianet.com.tn/smartphone-tunisie/72209-smartphone-samsung-galaxy-a05-6-go-128-go-silver.html,samsung,galaxy a05,6go,128gb,silver,,tunisianet,INSTOCK,519.000,2024-06-13
realme-c51,realme-c51-4go-128gb-black,Smartphone Realme C51 / 4 Go / 128 Go / Noir + Un Abonnement Offert,https://www.tunisianet.com.tn/smartphone-tunisie/69531-smartphone-realme-c51-4-go-128-go-noir.html,realme,c51,4go,128gb,black,un abonnement offert,tunisianet,INSTOCK,529.000,2024-06-13
