ooredooshop_scrapy_persist.reference_global,ooredooshop_scrapy_persist.reference_detail,ooredooshop_scrapy_persist.ad_title,ooredooshop_scrapy_persist.ad_url,ooredooshop_scrapy_persist.marque,ooredooshop_scrapy_persist.modele,ooredooshop_scrapy_persist.ram,ooredooshop_scrapy_persist.stockage,ooredooshop_scrapy_persist.couleur,ooredooshop_scrapy_persist.options,ooredooshop_scrapy_persist.shop,ooredooshop_scrapy_persist.ad_stocks,ooredooshop_scrapy_persist.ad_price,ooredooshop_scrapy_persist.date_scrapy
infinix-hot30freefire,infinix-hot30freefire,INFINIX HOT 30 Free Fire...,https://www.ooredoo.tn/Personal/fr/accueil/1328-2516-portable-infinix-hot30-8128-tunisie.html#/52-couleur-blanc,infinix,hot 30 free fire,,,,,ooredooshop,INSTOCK,629.0,28/01/2024
infinix-hot30i,infinix-hot30i-8go-128gb,INFINIX HOT 30I (8+128GO),https://www.ooredoo.tn/Personal/fr/accueil/1337-2509-portable-infinix-hot-30i-8128go-tunisie.html#/52-couleur-blanc,infinix,hot 30i,8go,128gb,,,ooredooshop,INSTOCK,499.0,28/01/2024
infinix-note30vip12,infinix-note30vip12-256gb,INFINIX NOTE 30 VIP (12+256...,https://www.ooredoo.tn/Personal/fr/accueil/1409-2114-portable-infinix-note30-vip-12256-go-tunisie.html#/52-couleur-blanc,infinix,note 30 vip 12,,256gb,,,ooredooshop,INSTOCK,1299.0,28/01/2024
infinix-smart7hd,infinix-smart7hd-2go-64gb,INFINIX SMART 7 HD (2/64GO),https://www.ooredoo.tn/Personal/fr/accueil/1340-2072-portable-infinix-smart-7-hd-2-64go-tunisie.html#/73-couleur-noir,infinix,smart 7 hd,2go,64gb,,,ooredooshop,INSTOCK,299.0,28/01/2024
itel-a58pro4g,itel-a58pro4g,ITEL A58 PRO 4G,https://www.ooredoo.tn/Personal/fr/accueil/1082-1679-portable-itel-a58-pro-4g.html#/11-couleur-noir,itel,a58 pro,4g,,,,ooredooshop,INSTOCK,299.0,28/01/2024
itel-p40,itel-p40-4go-64gb,ITEL P40 (4+64G),https://www.ooredoo.tn/Personal/fr/accueil/1633-2295-portable-itel-p40-464g.html#/14-couleur-bleu,itel,p40,4go,64gb,,,ooredooshop,INSTOCK,339.0,28/01/2024
itel-s23,itel-s23-4go-128gb,ITEL S23 (4+128G),https://www.ooredoo.tn/Personal/fr/accueil/1636-2391-portable-itel-s23-4128g.html#/73-couleur-noir,itel,s23,4go,128gb,,,ooredooshop,INSTOCK,389.0,28/01/2024
itel-s23,itel-s23-8go-128gb,ITEL S23 (8+128G),https://www.ooredoo.tn/Personal/fr/accueil/1639-2388-portable-itel-s23-8128g.html#/52-couleur-blanc,itel,s23,8go,128gb,,,ooredooshop,INSTOCK,449.0,28/01/2024
itel-s23,itel-s23-8go-256gb,ITEL S23 (8+256 GO),https://www.ooredoo.tn/Personal/fr/accueil/1766-2460-portable-itel-s23-8256-go.html#/73-couleur-noir,itel,s23,8go,256gb,,,ooredooshop,INSTOCK,479.0,28/01/2024
logicom-flow,logicom-flow-2go-32gb,LOGICOM FLOW (2+32GO),https://www.ooredoo.tn/Personal/fr/accueil/1143-1853-portable-logicom-flow-232go.html#/73-couleur-noir,logicom,flow,2go,32gb,,,ooredooshop,INSTOCK,195.0,28/01/2024
logicom-solar,logicom-solar-4go-64gb,LOGICOM SOLAR (4+64GO),https://www.ooredoo.tn/Personal/fr/accueil/1140-1856-portable-logicom-solar-464go.html#/50-couleur-bleu,logicom,solar,4go,64gb,,,ooredooshop,INSTOCK,239.0,28/01/2024
