reference_global,reference_detail,ad_title,ad_url,marque,modele,ram,stockage,couleur,options,shop,ad_stocks,ad_price,date_scrapy
nokia-130,nokia-130-gold,Téléphone Portable Nokia 130 Gold,https://spacenet.tn/telephone-portable-tunisie/67901-telephone-portable-nokia-130-gold.html,nokia,130,,,gold,,spacenet,INSTOCK,109.000,2024-06-18
nokia-130,nokia-130-blue,Téléphone Portable Nokia 130 Bleu,https://spacenet.tn/telephone-portable-tunisie/67898-telephone-portable-nokia-130-bleu.html,nokia,130,,,blue,,spacenet,INSTOCK,109.000,2024-06-18
ipro-sharkii,ipro-sharkii-blue,Téléphone Portable IPRO Shark II Bleu,https://spacenet.tn/telephone-portable-tunisie/53306-telephone-portable-ipro-a21-mini-orange.html,ipro,shark ii,,,blue,,spacenet,INSTOCK,119.000,2024-06-18
ipro-sharkii,ipro-sharkii-black,Téléphone Portable IPRO Shark II Noir,https://spacenet.tn/telephone-portable-tunisie/53307-telephone-portable-ipro-shark-ii-noir.html,ipro,shark ii,,,black,,spacenet,ONDEMAND,119.000,2024-06-18
logicom-leposhxl,logicom-leposhxl-black,Téléphone Portable Logicom Le Posh XL Noir,https://spacenet.tn/telephone-portable-tunisie/68624-telephone-portable-logicom-le-posh-xl-noir.html,logicom,le posh xl,,,black,,spacenet,INSTOCK,129.000,2024-06-18
nokia-1502023,nokia-1502023-red,Téléphone Portable Nokia 150 2023 Rouge,https://spacenet.tn/telephone-portable-tunisie/67922-telephone-portable-nokia-150-2023-rouge.html,nokia,150 2023,,,red,,spacenet,INSTOCK,149.000,2024-06-18
nokia-1502023,nokia-1502023-blue,Téléphone Portable Nokia 150 2023 Bleu,https://spacenet.tn/telephone-portable-tunisie/67921-telephone-portable-nokia-150-2023-bleu.html,nokia,150 2023,,,blue,,spacenet,INSTOCK,149.000,2024-06-18
nokia-1502023,nokia-1502023-black,Téléphone Portable Nokia 150 2023 Noir,https://spacenet.tn/telephone-portable-tunisie/67907-telephone-portable-nokia-150-2023-noir.html,nokia,150 2023,,,black,,spacenet,INSTOCK,149.000,2024-06-18
nokia-14,nokia-14-2go-32gb-black,Smartphone Nokia 1.4 2Go 32Go Noir,https://spacenet.tn/smartphone-tunisie/76128-smartphone-nokia14-2go-32go-noir.html,nokia,1 4,2go,32gb,black,,spacenet,INSTOCK,189.000,2024-06-18
nokia-6310,nokia-6310-yellow,Téléphone Portable Nokia 6310 - Jaune,https://spacenet.tn/telephone-portable-tunisie/44001-telephone-portable-nokia-6310-jaune.html,nokia,6310,,,yellow,,spacenet,INSTOCK,189.000,2024-06-18
kxd-a1,kxd-a1-1go-16gb-blue,Smartphone KXD A1 1Go 16Go Bleu,https://spacenet.tn/smartphone-tunisie/58531-smartphone-kxd-a1-1go-16go-bleu.html,kxd,a1,1go,16gb,blue,,spacenet,INSTOCK,189.000,2024-06-18
