reference_global,reference_detail,ad_title,ad_url,marque,modele,ram,stockage,couleur,options,shop,ad_stocks,ad_price,date_scrapy
samsung-galaxyzflip4,samsung-galaxyzflip4,Galaxy Z Flip4,https://www.samsungshop.tn/galaxy-z-prix-tunisie/1734-3080-samsung-z-flip-4-tunisie.html#/48-couleur-mauve_orchidee,samsung,galaxy z flip4,,,,,samsungshop,INSTOCK,3899.000,2024-06-13
samsung-galaxya335g,samsung-galaxya335g-8go-128gb,Galaxy A33 (8/128Go) 5G,https://www.samsungshop.tn/galaxy-a/1687-2973-galaxy-a33-5g-128go-prix-tunisie.html#/14-couleur-bleu,samsung,galaxy a33 5g,8go,128gb,,,samsungshop,INSTOCK,1699.000,2024-06-13
samsung-galaxya735g,samsung-galaxya735g-128gb,Galaxy A73 (128 GO) 5G,https://www.samsungshop.tn/galaxy-a/1686-2970-galaxy-a73-128-go-5g-prix-tunisie.html#/43-couleur-menthe,samsung,galaxy a73 5g,,128gb,,,samsungshop,INSTOCK,2299.000,2024-06-13
samsung-galaxya735g,samsung-galaxya735g-256gb,Galaxy A73 (256 GO) 5G,https://www.samsungshop.tn/galaxy-a/1685-2967-galaxy-a73-256-go-5g-prix-tunisie.html#/43-couleur-menthe,samsung,galaxy a73 5g,,256gb,,,samsungshop,INSTOCK,2599.000,2024-06-13
samsung-galaxya23,samsung-galaxya23-6go-128gb,Galaxy A23 (6/128Go),https://www.samsungshop.tn/galaxy-a/1680-2952-galaxy-a23-prix-tunisie.html#/11-couleur-noir,samsung,galaxy a23,6go,128gb,,,samsungshop,INSTOCK,1289.000,2024-06-13
samsung-galaxya23,samsung-galaxya23-4go-128gb,Galaxy A23 (4/128Go),https://www.samsungshop.tn/galaxy-a/1679-2949-galaxy-a23-128go-prix-tunisie.html#/11-couleur-noir,samsung,galaxy a23,4go,128gb,,,samsungshop,INSTOCK,1189.000,2024-06-13
samsung-galaxya23,samsung-galaxya23-4go-64gb,Galaxy A23 (4/64Go),https://www.samsungshop.tn/galaxy-a/1677-2939-galaxy-a23-64go-prix-tunisie.html#/11-couleur-noir,samsung,galaxy a23,4go,64gb,,,samsungshop,INSTOCK,929.000,2024-06-13
samsung-galaxya03,samsung-galaxya03-4go-64gb,Galaxy A03 (4/64GO),https://www.samsungshop.tn/galaxy-a/1676-2938-galaxy-a03-64go-prix-tunisie.html#/11-couleur-noir,samsung,galaxy a03,4go,64gb,,,samsungshop,INSTOCK,569.000,2024-06-13
samsung-galaxya03,samsung-galaxya03-3go-32gb,Galaxy A03 (3/32GO),https://www.samsungshop.tn/galaxy-a/1675-2934-galaxy-a03-32go-prix-tunisie.html#/11-couleur-noir,samsung,galaxy a03,3go,32gb,,,samsungshop,INSTOCK,445.000,2024-06-13
samsung-galaxya13,samsung-galaxya13-4go-128gb,Galaxy A13 (4/128GO),https://www.samsungshop.tn/galaxy-a/1674-2933-galaxy-a13-prix-tunisie.html#/11-couleur-noir,samsung,galaxy a13,4go,128gb,,,samsungshop,INSTOCK,828.000,2024-06-13
