mytek_scrapy_persist.reference_global,mytek_scrapy_persist.reference_detail,mytek_scrapy_persist.ad_title,mytek_scrapy_persist.ad_url,mytek_scrapy_persist.marque,mytek_scrapy_persist.modele,mytek_scrapy_persist.ram,mytek_scrapy_persist.stockage,mytek_scrapy_persist.couleur,mytek_scrapy_persist.options,mytek_scrapy_persist.shop,mytek_scrapy_persist.ad_stocks,mytek_scrapy_persist.ad_price,mytek_scrapy_persist.date_scrapy
huawei-novay91,huawei-novay91-8go-256gb-silver,Smartphone HUAWEI Nova Y91 8Go 256Go Silver + Band 8,https://www.mytek.tn/smartphone-huawei-nova-y91-8go-256go-silver-band-8.html,huawei,nova y91,8go,256gb,silver,band 8,mytek,INSTOCK,1239.0,2023-11-05
huawei-novay91,huawei-novay91-8go-256gb-black,Smartphone HUAWEI Nova Y91 8Go 256Go Noir + Band 8,https://www.mytek.tn/smartphone-huawei-nova-y91-8go-256go-noir-band-8.html,huawei,nova y91,8go,256gb,black,band 8,mytek,INSTOCK,1239.0,2023-11-05
infinix-note30vip5g,infinix-note30vip5g-12go-256gb-white,Smartphone INFINIX Note 30 VIP 5G 12Go 256Go - Blanc,https://www.mytek.tn/smartphone-infinix-note-30-vip-5g-12go-256go-blanc.html,infinix,note 30 vip 5g,12go,256gb,white,,mytek,INSTOCK,1299.0,2023-11-05
xiaomi-redminote12pro4g,xiaomi-redminote12pro4g-8go-256gb-graphitegray,Smartphone XIAOMI Redmi Note 12 Pro 4G 8Go 256Go - Gris Graphite,https://www.mytek.tn/smartphone-xiaomi-redmi-note-12-pro-4g-8go-256go-gris-graphite.html,xiaomi,redmi note 12 pro 4g,8go,256gb,graphite gray,,mytek,INSTOCK,1349.0,2023-11-05
huawei-nova10se,huawei-nova10se-8go-256gb-black,Smartphone HUAWEI Nova 10 SE 8Go 256Go Noir + Haut Parleur Bluetooth Offert,https://www.mytek.tn/smartphone-huawei-nova-10-se-8go-256go-noir-etui-freebuds-5i-phone-stand.html,huawei,nova 10 se,8go,256gb,black,haut parleur bluetooth offert,mytek,INSTOCK,1429.0,2023-11-05
oppo-reno74g,oppo-reno74g-8go-256gb-black,Smartphone OPPO Reno7 4G 8Go 256Go Noir + Abonnement Global 12 Mois,https://www.mytek.tn/smartphone-oppo-reno7-4g-8go-256go-noir.html,oppo,reno7 4g,8go,256gb,black,abonnement global 12 mois,mytek,INSTOCK,1449.0,2023-11-05
oppo-reno74g,oppo-reno74g-8go-256gb-orange,Smartphone OPPO Reno7 4G 8Go 256Go Orangé + Abonnement Global 12Mois,https://www.mytek.tn/smartphone-oppo-reno7-8go-256go-orange.html,oppo,reno7 4g,8go,256gb,orange,abonnement global 12mois,mytek,INSTOCK,1449.0,2023-11-05
samsung-galaxya345g,samsung-galaxya345g-6go-128gb-limegreen,Smartphone SAMSUNG GALAXY A34 5G 6Go 128Go - Vert Lime ,https://www.mytek.tn/smartphone-samsung-galaxy-a34-5g-6go-128go-vert-lime.html,samsung,galaxy a34 5g,6go,128gb,lime green,,mytek,INSTOCK,1469.0,2023-11-05
samsung-galaxya345g,samsung-galaxya345g-6go-128gb-graphite,Smartphone SAMSUNG GALAXY A34 5G 6Go 128Go - Graphite,https://www.mytek.tn/smartphone-samsung-galaxy-a34-5g-6go-128go-graphite.html,samsung,galaxy a34 5g,6go,128gb,graphite,,mytek,INSTOCK,1469.0,2023-11-05
vivo-v275g,vivo-v275g-8go-256gb-nobleblack,Smartphone VIVO V27 5G 8Go 256Go Noir Noble + Abonnement Global 12 Mois,https://www.mytek.tn/smartphone-vivo-v27-5g-8go-256go-noir-noble.html,vivo,v27 5g,8go,256gb,noble black,abonnement global 12 mois,mytek,INSTOCK,1489.0,2023-11-05
