spacenet_scrapy_persist.reference_global,spacenet_scrapy_persist.reference_detail,spacenet_scrapy_persist.ad_title,spacenet_scrapy_persist.ad_url,spacenet_scrapy_persist.marque,spacenet_scrapy_persist.modele,spacenet_scrapy_persist.ram,spacenet_scrapy_persist.stockage,spacenet_scrapy_persist.couleur,spacenet_scrapy_persist.options,spacenet_scrapy_persist.shop,spacenet_scrapy_persist.ad_stocks,spacenet_scrapy_persist.ad_price,spacenet_scrapy_persist.date_scrapy
apple-iphone15pro,apple-iphone15pro-128gb-naturaltitanium,iPhone 15 Pro 128Go Titane Naturel,https://spacenet.tn/iphone-tunisie/68167-iphone-15-pro-128go-titane-naturel.html,apple,iphone 15 pro,,128gb,natural titanium,,spacenet,ONDEMAND,5899.0,28/01/2024
apple-iphone15pro,apple-iphone15pro-128gb-bluetitanium,iPhone 15 Pro 128Go Titane Bleu,https://spacenet.tn/iphone-tunisie/68168-iphone-15-pro-128go-blue-titanium.html,apple,iphone 15 pro,,128gb,blue titanium,,spacenet,INSTOCK,900.0,28/01/2024
apple-iphone15pro,apple-iphone15pro-128gb-black,iPhone 15 Pro 128Go Noir,https://spacenet.tn/iphone-tunisie/68373-iphone-15-pro-128go-noir.html,apple,iphone 15 pro,,128gb,black,,spacenet,INSTOCK,4999.0,28/01/2024
apple-iphone14promax,apple-iphone14promax-512gb-violet,iPhone 14 Pro Max 512Go Violet,https://spacenet.tn/iphone-tunisie/59073-iphone-14-pro-max-512go-violet.html,apple,iphone 14 pro max,,512gb,violet,,spacenet,ONDEMAND,6699.0,28/01/2024
apple-iphone14promax,apple-iphone14promax-512gb-gold,iPhone 14 Pro Max 512Go Gold,https://spacenet.tn/iphone-tunisie/51945-iphone-14-pro-max-512go-gold.html,apple,iphone 14 pro max,,512gb,gold,,spacenet,ONDEMAND,700.0,28/01/2024
apple-iphone14promax,apple-iphone14promax-512gb-black,iPhone 14 Pro Max 512Go Noir,https://spacenet.tn/iphone-tunisie/51948-iphone-14-pro-max-512go-noir.html,apple,iphone 14 pro max,,512gb,black,,spacenet,ONDEMAND,5999.0,28/01/2024
samsung-galaxys24ultra,samsung-galaxys24ultra-12go-256gb-grey,Smartphone Samsung Galaxy S24 Ultra 12Go 256Go Gris,https://spacenet.tn/smartphone-tunisie/69101-smartphone-samsung-galaxy-s24-ultra-12go-256go-gris.html,samsung,galaxy s24 ultra,12go,256gb,grey,,spacenet,ONDEMAND,6699.0,28/01/2024
apple-iphone15plus,apple-iphone15plus-256gb-rose,iPhone 15 Plus 256Go Rose,https://spacenet.tn/iphone-tunisie/68250-iphone-15-plus-256go-rose.html,apple,iphone 15 plus,,256gb,rose,,spacenet,INSTOCK,700.0,28/01/2024
samsung-galaxys24ultra,samsung-galaxys24ultra-12go-256gb-black,Smartphone Samsung Galaxy S24 Ultra 12Go 256Go Noir,https://spacenet.tn/smartphone-tunisie/69100-smartphone-samsung-galaxy-s24-ultra-12go-256go-noir.html,samsung,galaxy s24 ultra,12go,256gb,black,,spacenet,ONDEMAND,5999.0,28/01/2024
samsung-galaxys24ultra,samsung-galaxys24ultra-12go-256gb-violet,Smartphone Samsung Galaxy S24 Ultra 12Go 256Go Violet,https://spacenet.tn/smartphone-tunisie/69102-smartphone-samsung-galaxy-s24-ultra-12go-256go-violet.html,samsung,galaxy s24 ultra,12go,256gb,violet,,spacenet,ONDEMAND,6699.0,28/01/2024
